cord_uid,title,abstract,authors,journal,publish_time
c19-0011,"Global Spread and Genomic Epidemiology of SARS-CoV-2 Variants","Phylogenetic analysis of SARS-CoV-2 genomes collected from Wuhan, Italy, and the United States traced the global spread of the virus and identified emerging spike protein mutations, including D614G, associated with increased transmissibility.","Korber B; Fischer WM; Gnanakaran S","Cell",2020-07-02
c19-0012,"World Health Organization Guidance on COVID-19 Infection Prevention and Control","The World Health Organization (WHO) issued interim guidance for infection prevention and control during health care when COVID-19 is suspected, including recommendations on personal protective equipment and isolation precautions.","World Health Organization","WHO Technical Guidance",2020-01-25
c19-0013,"Moderna mRNA-1273 Vaccine Phase 1 Trial in Older Adults","The mRNA-1273 vaccine, developed by Moderna and the NIH, was evaluated in adults aged 56 and older. The vaccine encodes a prefusion-stabilized SARS-CoV-2 spike protein and elicited neutralizing antibody titers comparable to younger participants.","Anderson EJ; Rouphael NG; Widge AT","New England Journal of Medicine",2020-09-29
c19-0014,"Loss of Smell and Taste as Early Symptoms of SARS-CoV-2 Infection","A multicenter study found that anosmia and dysgeusia were common early symptoms among COVID-19 patients, often preceding other respiratory symptoms, and could serve as useful markers for early case identification.","Lechien JR; Chiesa-Estomba CM; De Siati DR","European Archives of Oto-Rhino-Laryngology",2020-04-06
c19-0015,"Furin Cleavage Site in the SARS-CoV-2 Spike Protein Enhances Pathogenicity","The SARS-CoV-2 spike protein contains a furin cleavage site absent in closely related coronaviruses. This motif is proteolytically processed by furin and enhances cell-cell fusion and pathogenicity in human airway cells.","Hoffmann M; Kleine-Weber H; Pohlmann S","Molecular Cell",2020-04-16
c19-0016,"Children and COVID-19: Multisystem Inflammatory Syndrome (MIS-C)","Multisystem inflammatory syndrome in children (MIS-C) temporally associated with SARS-CoV-2 infection presents with persistent fever, elevated inflammatory markers, and multiorgan involvement, resembling Kawasaki disease in some cases.","Riphagen S; Gomez X; Gonzalez-Martinez C","The Lancet",2020-05-06
c19-0017,"Favipiravir as a Potential Treatment for COVID-19","Favipiravir, a broad-spectrum antiviral originally developed for influenza, inhibits the viral RNA-dependent RNA polymerase. Early open-label studies in China suggested favipiravir shortened viral clearance time compared to lopinavir/ritonavir.","Cai Q; Yang M; Liu D","Engineering",2020-03-18
c19-0018,"Airborne Transmission of SARS-CoV-2 in Indoor Environments","Evidence from restaurant and choir practice outbreak investigations supports aerosol transmission of SARS-CoV-2 in poorly ventilated indoor spaces, with implications for ventilation guidance and mask policy.","Morawska L; Milton DK","Clinical Infectious Diseases",2020-07-06
c19-0019,"Lopinavir-Ritonavir Trial in Hospitalized Adults with COVID-19","A randomized, controlled, open-label trial of lopinavir-ritonavir, an HIV protease inhibitor combination, in hospitalized adults with severe COVID-19 found no significant benefit over standard care.","Cao B; Wang Y; Wen D","New England Journal of Medicine",2020-03-18
c19-0020,"Centers for Disease Control and Prevention COVID-19 Response and Surveillance","The U.S. Centers for Disease Control and Prevention (CDC) established nationwide surveillance systems and testing guidance for COVID-19, coordinating with state health departments during the early phase of the pandemic in Wuhan-linked travel cases.","CDC COVID-19 Response Team","MMWR",2020-02-14
